id;name;image_src;price;calories;proteins;fats;carbohydrates;gluten_free;vegan;vegetarian;dairy_free
782585;Cannellini Bean and Asparagus Salad with Mushrooms;;134.63;488.93;6.44;1.04;80.55;True;True;True;True
715497;Berry Banana Breakfast Smoothie;;206.79;457.05;9.94;2.7;73.06;False;False;True;False
715415;Red Lentil Soup with Chicken and Turnips;;300.45;477.24;20.34;3.1;51.78;True;False;False;True
716406;Asparagus and Pea Soup: Real Convenience Food;;178.37;217.43;7.76;1.13;28.83;True;True;True;True
644387;Garlicky Kale;;69.09;169.87;14.98;2.05;7.46;True;True;True;True
715446;Slow Cooker Beef Stew;;270.41;433.82;11.63;4.47;40.53;True;False;False;True
782601;Red Kidney Bean Jambalaya;;168.43;392.8;6.45;0.96;69.36;True;True;True;True
795751;Chicken Fajita Stuffed Bell Pepper;;435.16;546.71;24.2;7.76;34.23;True;False;False;False
716426;Cauliflower, Brown Rice, and Vegetable Fried Rice;;119.36;248.3;12.96;4.18;28.91;True;True;True;True
766453;Hummus and Za'atar;;161.03;778.28;30.55;3.74;100.34;True;True;True;True
716627;Easy Homemade Rice and Beans;;106.02;445.69;4.09;0.7;86.11;True;True;True;True
664147;Tuscan White Bean Soup with Olive Oil and Rosemary;;49.7;242.41;1.29;0.26;43.37;True;True;True;True
640941;Crunchy Brussels Sprouts Side Dish;;169.38;231.8;15.91;2.03;19.79;True;False;True;True
715495;Turkey Tomato Cheese Pizza;;183.99;239.96;8.48;2.9;34.13;False;False;False;False
794349;Broccoli and Chickpea Rice Salad;;112.68;354.78;9.78;1.19;55.44;True;True;True;True
716381;Nigerian Snail Stew;;909.89;374.43;4.92;0.86;74.12;True;False;False;True
660306;Slow Cooker: Pork and Garbanzo Beans;;298.81;586.78;14.04;3.34;48.51;True;False;False;True
756814;Powerhouse Almond Matcha Superfood Smoothie;;259.09;387.47;22.17;1.63;37.81;True;False;False;True
715769;Broccolini Quinoa Pilaf;;414.24;625.07;30.69;3.32;71.66;True;True;True;True
642129;Easy To Make Spring Rolls;;377.64;162.3;2.02;0.14;28.36;True;False;False;True
642605;Farro With Mushrooms and Asparagus;;394.03;365.28;9.37;1.57;61.53;False;False;True;True
636589;Butternut Squash Frittata;;340.39;481.46;4.21;2.33;100.53;True;False;False;False
646738;Herbivoracious' White Bean and Kale Soup;;78.07;331.54;9.98;1.45;46.27;True;True;True;True
715540;Summer Berry Salad;;175.37;97.95;1.3;0.16;22.6;True;True;True;True
663559;Tomato and lentil soup;;115.56;340.11;8.08;1.13;50.72;True;True;True;True
662670;Swiss Chard Wraps;;81.56;137.29;11.2;1.64;8.64;True;True;True;True
640062;Corn Avocado Salsa;;130.73;237.36;15.58;2.25;26.27;True;True;True;True
715421;Cheesy Chicken Enchilada Quinoa Casserole;;262.25;622.45;23.79;9.04;73.94;True;False;False;False
648320;Jade Buddha Salmon Tartare;;696.04;382.72;24.91;3.62;5.22;True;False;False;True
716432;Finger Foods: Frittata Muffins;;295.92;654.73;44.88;19.26;12.9;True;False;True;False
798400;Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant;;94.05;128.72;2.2;0.34;23.17;True;True;True;True
782600;Quinoa Salad with Vegetables and Cashews;;146.67;309.29;24.09;3.39;20.3;True;True;True;True
652417;Moroccan chickpea and lentil stew;;126.12;465.29;7.26;0.93;82.4;False;True;True;True
639535;Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather;;278.78;613.91;18.12;2.02;101.24;False;True;True;True
729366;Plantain Salad;;539.61;607.46;17.6;3.25;107.01;True;False;False;False
661925;Strawberry-Mango Quinoa Salad;;187.33;372.99;17.02;2.4;50.41;True;False;True;False
794538;Almond Joy Protein Shake;;223.69;583.15;49.97;27.88;18.53;True;False;False;True
649931;Lentil Salad With Vegetables;;120.28;338.98;11.79;1.7;46.21;True;True;True;True
636787;Caldo Verde - Portuguese Kale Soup;;224.09;492.94;10.28;4.79;82.25;True;False;False;True
641975;Easy Ginger Beef Broccoli;;213.74;384.5;11.88;3.65;19.22;False;False;False;True
652423;Moroccan Couscous and Chickpea Salad;;187.17;486.66;25.26;3.34;54.22;False;True;True;True
715447;Easy Vegetable Beef Soup;;345.26;565.84;19.15;7.71;55.76;False;False;False;True
716311;Mango Fried Rice;;151.08;546.48;4.52;1.12;108.05;True;False;False;True
715543;Homemade Guacamole;;91.76;170.13;14.83;2.15;10.91;True;True;True;True
157344;Spicy Salad with Kidney Beans, Cheddar, and Nuts;;458.2;719.45;49.33;11.22;51.2;True;False;True;False
658509;Roasted Broccoli with Lemon and Garlic;;30.33;58.24;2.43;0.41;8.0;True;True;True;True
716195;Spicy Indian-Style Hummus;;43.68;133.79;6.38;0.85;15.34;True;True;True;True
716361;Stir Fried Quinoa, Brown Rice and Chicken Breast;;357.8;754.02;19.57;6.45;85.69;True;False;False;False
765011;Snap Pea and Green Bean Salad with Arugula Pesto;;221.91;314.36;22.01;2.5;21.53;True;False;True;False
660228;Skinny Kale Basil Pesto;;105.92;83.5;5.54;1.09;6.03;True;False;False;False
716408;Greek-Style Baked Fish: Fresh, Simple, and Delicious;;303.59;557.47;12.93;3.76;74.31;True;False;False;False
661340;Spinach Salad with Strawberry Vinaigrette;;338.97;321.81;12.73;3.38;29.95;True;False;False;False
782622;Chocolate Peanut Butter Cinnamon Smoothie;;149.68;419.86;20.76;4.25;42.01;True;False;False;True
715424;The Best Chili;;206.6;327.12;6.97;2.78;35.24;True;False;False;True
659135;Salmon with roasted vegetables;;520.46;495.53;18.41;2.78;44.62;True;False;False;True
639851;Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes;;626.14;746.32;40.56;8.49;40.1;True;False;False;True
664547;Vegetable Dip;;183.58;268.12;4.07;1.87;44.96;True;False;True;False
633921;Balsamic & Honey Glazed Salmon with Lemony Asparagus;;443.76;301.22;14.45;1.85;18.46;True;False;False;True
658579;Roasted Endive Salad With Prosciutto, Figs and Pistachios;;366.31;387.67;10.3;1.77;70.97;True;False;False;True
715385;Slow Cooker Baked Potato Soup;;283.4;884.23;32.97;14.52;116.29;False;False;False;False
641057;Curried Butternut Squash and Apple Soup;;141.44;134.47;2.66;0.42;23.64;True;True;True;True
655575;Penne Pasta with Broccoli and Cheese;;66.19;269.22;2.17;0.72;51.28;False;False;False;False
632269;Amaranth and Roast Veggie Salad;;246.69;380.36;18.25;2.79;48.46;True;True;True;True
637162;Carrot and Cabbage Salad With Coriander+cumin Dry Rub;;139.83;222.26;10.22;1.12;32.14;True;True;True;True
982371;Instant Pot Quinoa Grain Bowl;;301.67;415.31;9.68;1.25;69.46;True;True;True;True
1095753;Roasted Cauliflower Detox Bowl with Tahini Sauce;;305.89;548.62;29.54;4.24;63.01;True;True;True;True
660405;Smoky Black Bean Soup With Sweet Potato & Kale;;262.42;554.93;7.45;1.17;102.54;True;False;True;True
715523;Chorizo and Beef Quinoa Stuffed Pepper;;369.37;1028.4;63.58;24.56;37.01;True;False;False;False
632252;Alouette� Stuffed Mushroom Caps;;150.29;30.37;0.45;0.07;5.54;False;True;True;True
639891;Coffee-braised Short Ribs;;704.87;877.28;41.52;15.44;59.47;True;False;False;True
646651;Herb chicken with sweet potato mash and saut�ed broccoli;;312.55;710.19;24.57;6.7;78.24;True;False;False;False
716330;Chicken and Mango Skewer;;450.95;478.53;8.16;1.85;82.08;True;False;False;True
640318;Crab Salad Stuffed Pita Pockets;;590.1;417.83;6.4;0.93;53.99;False;False;False;True
642085;Easy Roasted Vegetables;;127.7;360.42;4.52;0.72;75.57;True;True;True;True
716437;Chilled Cucumber Avocado Soup with Yogurt and Kefir;;209.51;188.75;7.28;1.6;24.49;True;False;True;False
664090;Turkish Chicken Salad with Home-made Cacik Yogurt Sauce;;447.82;642.89;29.78;7.36;27.1;True;False;False;False
636602;Butternut Squash Soup (In Half An Hour!);;124.5;251.7;6.49;1.3;42.39;True;True;True;True
716276;Doughnuts;;67.93;430.24;2.04;0.79;91.33;False;False;True;False
649944;Lentil Mango Salad;;159.25;272.22;6.61;0.97;44.3;True;True;True;True
646043;Gujarati Dry Mung Bean Curry;;164.1;375.59;5.15;0.68;66.07;True;True;True;True
634437;Basil Tagliatelle with Roasted Red Bell Pepper Salad;;407.11;211.67;12.23;1.7;25.08;True;True;True;True
655235;Peanut Butter and Jelly Smoothie;;144.77;779.49;35.76;6.9;103.92;True;False;False;True
652393;Moosewood Lentil Soup;;74.36;403.93;3.55;0.42;68.18;True;True;True;True
640828;Crispy Panko and Herb Crusted Salmon;;416.31;392.88;22.19;3.3;14.38;False;False;False;True
769774;Shredded Roast Beef Stuffed Sweet Potatoes (Whole 30 & PALEO);;929.89;416.69;4.88;1.92;45.47;True;False;False;True
715533;Filet Mignon Soft Tacos;;420.62;571.1;29.68;9.46;24.63;True;False;False;False
639411;Cilantro Lime Halibut;;881.11;422.05;21.96;3.32;6.39;True;False;False;True
636228;Broccoli Tartar;;105.84;197.78;6.31;0.95;31.86;True;True;True;True
661259;Spinach and Gorgonzola Stuffed Flank Steak;;427.24;523.46;28.44;10.56;18.35;False;False;False;False
664680;Vegetarian Mushroom Shepherd's Pie;;116.49;131.6;5.25;0.89;26.31;True;False;False;True
715391;Slow Cooker Chicken Taco Soup;;141.43;311.77;3.78;0.67;49.24;True;False;False;True
